date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:43	585174/585174	---M--	200	added ('OK')	image/png	etag:%22959add02c7db128f426002d4c1e257b1%22	http://i.imgur.com/DCZGOs6.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/DCZGOs6.png	(from http://www.kleinco.org/old/)
12:37:43	229382/229382	---M--	200	added ('OK')	image/jpeg	etag:%22d3df19b39a81f4e18304471d8e137c1d%22	http://i.imgur.com/Hv67kGh.jpg	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/Hv67kGh.jpg	(from http://www.kleinco.org/old/kleincotriopage.htm)
12:37:43	2294/2294	---M--	200	added ('OK')	text/html	etag:%228f6-4f9a3d4fe7aa0%22	http://www.kleinco.org/old/jobs.htm	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/www.kleinco.org/old/jobs.html	(from http://www.kleinco.org/old/main.htm)
12:37:44	3307/3307	---M--	200	added ('OK')	text/html	etag:%22ceb-4f9a3d521fa8f%22	http://www.kleinco.org/old/service.htm	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/www.kleinco.org/old/service.html	(from http://www.kleinco.org/old/main.htm)
12:37:44	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202019%2018:37:45%20GMT	http://gyazo.com/51a299c7826d9c5369e9201f0995ca13.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/gyazo.com/51a299c7826d9c5369e9201f0995ca13.21.delayed	(from http://www.kleinco.org/old/main.htm)
12:37:45	1840/1840	---M--	200	added ('OK')	text/html	etag:%22730-4f9a3d5182f4b%22	http://www.kleinco.org/old/not%20found.htm	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/www.kleinco.org/old/not%20found.html	(from http://www.kleinco.org/old/main.htm)
12:37:45	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202019%2018:37:46%20GMT	http://reasonsoflife.files.wordpress.com/2008/08/indian-flag-12.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/reasonsoflife.files.wordpress.com/2008/08/indian-flag-12.24.delayed	(from http://www.kleinco.org/old/main.htm)
12:37:51	36375/36375	---M--	200	added ('OK')	image/gif	date:Sat,%2015%20Aug%202009%2008:40:28%20GMT	https://reasonsoflife.files.wordpress.com/2008/08/indian-flag-12.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/reasonsoflife.files.wordpress.com/2008/08/indian-flag-12.gif	(from http://www.kleinco.org/old/main.htm)
12:37:54	14522/14522	---M--	200	added ('OK')	image/png	etag:%2262cdbcc4c22d70a6edfd035f81932b05%22	http://i.imgur.com/OOjF3Jt.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/OOjF3Jt.png	(from http://www.kleinco.org/old/jangosoft.htm)
12:37:54	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202019%2018:37:56%20GMT	http://nba2kll.clanteam.com/images/molumen_download_button_1.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/nba2kll.clanteam.com/images/molumen_download_button_1.28.delayed	(from http://www.kleinco.org/old/jangosoft.htm)
12:37:56	5871/5871	---M--	200	added ('OK')	image/png	etag:%22c52aa3577f26c11809e518c052452c38%22	http://i.imgur.com/e1lGt5S.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/e1lGt5S.png	(from http://www.kleinco.org/old/lel_u_dums.htm)
12:37:56	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202019%2018:37:58%20GMT	http://31.media.tumblr.com/8efcfccc87560a21ac340b8eef252626/tumblr_mqi0qta1fM1sbbaqgo1_500.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/31.media.tumblr.com/8efcfccc87560a21ac340b8eef252626/tumblr_mqi0qta1fM1sbbaqgo1_500.2a.delayed	(from http://www.kleinco.org/old/lel_u_dums.htm)
12:38:00	137582/137582	---M--	200	added ('OK')	image/gif	etag:%22v1b15%22	http://3.bp.blogspot.com/-JdQyXQz70Aw/TcGvQaZKc5I/AAAAAAAAAe0/7MNcQQuajno/s1600/Indian+Waving+Flag+Animation+%25283%2529.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/3.bp.blogspot.com/-JdQyXQz70Aw/TcGvQaZKc5I/AAAAAAAAAe0/7MNcQQuajno/s1600/Indian%20Waving%20Flag%20Animation%20(3).gif	(from http://www.kleinco.org/old/main.htm)
12:38:09	154390/154390	---M--	200	added ('OK')	image/png	etag:%229b84e900e2a33245c08a7655d1fb577e%22	http://i.imgur.com/EcLwMwi.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/EcLwMwi.png	(from http://www.kleinco.org/old/main.htm)
12:39:35	684690/684690	---M--	200	added ('OK')	image/png	etag:%2251a2%22	https://i.gyazo.com/51a299c7826d9c5369e9201f0995ca13.png	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.gyazo.com/51a299c7826d9c5369e9201f0995ca13.png	(from http://www.kleinco.org/old/main.htm)
12:40:42	1041574/1041574	---M--	200	added ('OK')	image/gif	etag:%22e74082058ddec52c09fdd7c188a5a06e-1488067200-e7df032%22	http://66.media.tumblr.com/8efcfccc87560a21ac340b8eef252626/tumblr_mqi0qta1fM1sbbaqgo1_500.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/66.media.tumblr.com/8efcfccc87560a21ac340b8eef252626/tumblr_mqi0qta1fM1sbbaqgo1_500.gif	(from http://www.kleinco.org/old/lel_u_dums.htm)
12:41:13	1207828/1207828	---M--	200	added ('OK')	image/gif	etag:%2220df9a5078a9a0bb0c3d16b7a01a8552%22	http://i.imgur.com/jkpLJuZ.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/jkpLJuZ.gif	(from http://www.kleinco.org/old/service.htm)
12:41:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Apr%202019%2018:41:15%20GMT	http://media.giphy.com/media/fOeK0dbzse4A8/giphy.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/media.giphy.com/media/fOeK0dbzse4A8/giphy.31.delayed	(from http://www.kleinco.org/old/not%20found.htm)
12:41:14	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2001%20Apr%202019%2018:41:15%20GMT	https://media.giphy.com/media/fOeK0dbzse4A8/giphy.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/media.giphy.com/media/fOeK0dbzse4A8/giphy.32.delayed	(from http://www.kleinco.org/old/not%20found.htm)
12:42:36	1837428/1837428	---M--	200	added ('OK')	image/gif	etag:%22ba33c7f6b8dc5b1b31546749e6b91388%22	http://i.imgur.com/wLzuyBC.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/wLzuyBC.gif	(from http://www.kleinco.org/old/service.htm)
12:43:34	2014198/2014198	---M--	200	added ('OK')	image/gif	etag:%22103a603964f419c77ed9bf01fca177b6%22	http://i.imgur.com/x0lMizP.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/x0lMizP.gif	(from http://www.kleinco.org/old/service.htm)
12:45:53	5029139/5029139	---M--	200	added ('OK')	image/gif	etag:%2236da8afe8fcfd75460bc92b7716fc952%22	http://i.imgur.com/j9XFGKM.gif	G:/KleinCoorg%20old%20site%20backup/Old%20KleinCo%20Site/i.imgur.com/j9XFGKM.gif	(from http://www.kleinco.org/old/service.htm)
